Number,date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
140,02/02/2015 14:19,23.7,26.272,585.2,749.2,0.004764163,1
141,02/02/2015 14:19,23.718,26.29,578.4,760.4,0.004772661,1
142,02/02/2015 14:21,23.73,26.23,572.6666667,769.6666667,0.004765153,1
143,02/02/2015 14:22,23.7225,26.125,493.75,774.75,0.004743773,1
144,02/02/2015 14:23,23.754,26.2,488.6,779,0.004766594,1
145,02/02/2015 14:23,23.76,26.26,568.6666667,790,0.004779332,1
146,02/02/2015 14:25,23.73,26.29,536.3333333,798,0.004776136,1
147,02/02/2015 14:25,23.754,26.29,509,797,0.004783094,1
148,02/02/2015 14:26,23.754,26.35,476,803.2,0.004794094,1
149,02/02/2015 14:28,23.736,26.39,510,809,0.004796189,1
150,02/02/2015 14:29,23.745,26.445,481.5,815.25,0.004808886,1
151,02/02/2015 14:30,23.7,26.56,481.8,824,0.004816793,1
152,02/02/2015 14:31,23.7,26.6,475.25,832,0.004824104,1
153,02/02/2015 14:31,23.7,26.7,469,845.3333333,0.004842381,1
154,02/02/2015 14:32,23.7,26.774,464,852.4,0.004855906,1
155,02/02/2015 14:34,23.7,26.89,464,861,0.00487711,1
156,02/02/2015 14:35,23.7,26.9725,455,880,0.004892191,1
157,02/02/2015 14:36,23.6,26.89,454,891,0.004847594,1
158,02/02/2015 14:37,23.64,26.976,458,897.6,0.004875045,1
159,02/02/2015 14:38,23.65,27.05,464,900.5,0.004891492,1
160,02/02/2015 14:38,23.64,27.1,473,908.8,0.00489763,1
161,02/02/2015 14:39,23.6,27.16,464,918,0.004896652,1
162,02/02/2015 14:41,23.6,27.236,498.4,925.2,0.004910462,1
163,02/02/2015 14:42,23.6,27.29,530.2,929.4,0.004920275,1
164,02/02/2015 14:43,23.6,27.33,533.6,936.4,0.004927544,1
165,02/02/2015 14:44,23.6,27.34,524.25,950,0.004929361,1
166,02/02/2015 14:44,23.625,27.3925,498.6666667,961,0.004946406,1
167,02/02/2015 14:45,23.6,27.39,516.3333333,963,0.004938448,1
168,02/02/2015 14:47,23.6,27.412,501.2,958.6,0.004942446,1
169,02/02/2015 14:48,23.6,27.5,522,965.3333333,0.004958439,1
170,02/02/2015 14:49,23.6,27.525,520.5,979.25,0.004962982,1
171,02/02/2015 14:50,23.6,27.6,505.2857143,978.4285714,0.004976614,1
172,02/02/2015 14:51,23.6,27.6,488.3333333,983,0.004976614,1
173,02/02/2015 14:51,23.6,27.54,512,992.6,0.004965709,1
174,02/02/2015 14:53,23.6,27.6,511,997.2,0.004976614,1
175,02/02/2015 14:54,23.61666667,27.63333333,501.5,999.5,0.004987718,1
176,02/02/2015 14:55,23.66666667,27.7,503.6666667,1001,0.005015051,1
177,02/02/2015 14:55,23.6,27.7,483.1666667,1009.5,0.00499479,1
178,02/02/2015 14:57,23.6,27.7225,483.5,1019,0.004998879,1
179,02/02/2015 14:57,23.6,27.79,473,1021,0.005011149,1
180,02/02/2015 14:58,23.6,27.85666667,470.3333333,1024.666667,0.005023268,1
181,02/02/2015 15:00,23.6,27.80428571,480.1428571,1030.428571,0.005013746,1
182,02/02/2015 15:01,23.575,27.79,464,1026.25,0.005003545,1
183,02/02/2015 15:02,23.54,27.81,474.4,1028,0.004996538,1
184,02/02/2015 15:03,23.6,27.978,470,1034.8,0.005045325,1
185,02/02/2015 15:04,23.525,28,454,1055.5,0.005026367,1
186,02/02/2015 15:04,23.5,27.978,454,1055.25,0.00501476,1
187,02/02/2015 15:06,23.5,28,454,1050,0.005018735,1
188,02/02/2015 15:07,23.5,28,454,1051.25,0.005018735,1
189,02/02/2015 15:08,23.5,28,445,1053.6,0.005018735,1
190,02/02/2015 15:08,23.5,28,439,1055.5,0.005018735,1
191,02/02/2015 15:10,23.5,28.025,444.25,1055,0.005023252,1
192,02/02/2015 15:10,23.445,28.125,454.75,1059.5,0.005024491,1
193,02/02/2015 15:11,23.39,28.18,455.8,1060,0.005017582,1
194,02/02/2015 15:13,23.39,28.2,451.6,1073.6,0.005021172,1
195,02/02/2015 15:14,23.39,28.2,451.6,1078.6,0.005021172,1
196,02/02/2015 15:15,23.39,28.2,454.75,1081,0.005021172,1
