,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy,Week_day
0,23.18,27.272,426.0,721.25,0.004792988,1,1
1,23.15,27.2675,429.5,714.0,0.004783440999999999,1,1
2,23.15,27.245,426.0,713.5,0.004779464000000001,1,1
3,23.15,27.2,426.0,708.25,0.004771509,1,1
4,23.1,27.2,426.0,704.5,0.004756993,1,1
5,23.1,27.2,419.0,701.0,0.004756993,1,1
6,23.1,27.2,419.0,701.6666667000001,0.004756993,1,1
7,23.1,27.2,419.0,699.0,0.004756993,1,1
8,23.1,27.2,419.0,689.3333332999999,0.004756993,1,1
9,23.075,27.175,419.0,688.0,0.004745351,1,1
10,23.075,27.15,419.0,690.25,0.0047409520000000005,1,1
11,23.1,27.1,419.0,691.0,0.004739371,1,1
12,23.1,27.16666667,419.0,683.5,0.004751119,1,1
13,23.05,27.15,419.0,687.5,0.004733732,1,1
14,23.0,27.125,419.0,686.0,0.004714942,1,1
15,23.0,27.125,418.5,680.5,0.004714942,1,1
16,23.0,27.2,0.0,681.5,0.004728078,0,1
17,22.945,27.29,0.0,685.0,0.004727950999999999,0,1
18,22.945,27.39,0.0,685.0,0.004745408,0,1
19,22.89,27.39,0.0,689.0,0.004729506,0,1
20,22.89,27.39,0.0,689.5,0.004729506,0,1
21,22.89,27.39,0.0,689.0,0.004729506,0,1
22,22.89,27.445,0.0,691.0,0.004739076,0,1
23,22.89,27.5,0.0,688.0,0.004748645,0,1
24,22.89,27.5,0.0,689.5,0.004748645,0,1
25,22.79,27.445,0.0,689.0,0.004710224,0,1
26,22.79,27.5,0.0,685.6666667000001,0.004719735,0,1
27,22.79,27.5,0.0,687.0,0.004719735,0,1
28,22.79,27.5,0.0,688.0,0.004719735,0,1
29,22.745,27.5,0.0,670.0,0.004706776,0,1
30,22.7,27.46333333,0.0,668.6666667000001,0.004687543,0,1
31,22.7,27.5,0.0,670.0,0.004693849,0,1
32,22.7,27.5,0.0,667.0,0.004693849,0,1
33,22.66666667,27.42666667,0.0,664.5,0.004671708,0,1
34,22.7,27.6,0.0,670.0,0.004711047,0,1
35,22.6,27.42666667,0.0,670.3333332999999,0.004652699000000001,0,1
36,22.6,27.39,0.0,672.0,0.004646433,0,1
37,22.6,27.35666667,0.0,658.0,0.0046407359999999995,0,1
38,22.6,27.445,0.0,660.5,0.004655833,0,1
39,22.6,27.42666667,0.0,658.0,0.004652699000000001,0,1
40,22.6,27.445,0.0,655.0,0.004655833,0,1
41,22.6,27.445,0.0,654.25,0.004655833,0,1
42,22.6,27.39,0.0,648.0,0.004646433,0,1
43,22.5,27.32333333,0.0,648.6666667000001,0.004606763,0,1
44,22.5,27.445,0.0,646.0,0.004627429000000001,0,1
45,22.5,27.5,0.0,646.0,0.004636772,0,1
46,22.5,27.445,0.0,641.5,0.004627429000000001,0,1
47,22.39,27.29,0.0,639.0,0.004570212,0,1
48,22.5,27.5,0.0,640.0,0.004636772,0,1
49,22.39,27.34,0.0,630.5,0.004578647,0,1
50,22.39,27.35666667,0.0,629.3333332999999,0.004581459,0,1
51,22.39,27.5,0.0,632.0,0.004605641,0,1
52,22.39,27.5,0.0,636.5,0.004605641,0,1
53,22.39,27.5,0.0,627.5,0.004605641,0,1
54,22.39,27.39,0.0,626.0,0.004587082,0,1
55,22.39,27.5,0.0,625.5,0.004605641,0,1
56,22.34,27.39,0.0,623.5,0.00457305,0,1
57,22.39,27.46333333,0.0,624.6666667000001,0.004599455,0,1
58,22.39,27.39,0.0,622.0,0.004587082,0,1
59,22.29,27.39,0.0,621.0,0.004559056,0,1
60,22.34,27.39,0.0,626.5,0.00457305,0,1
61,22.29,27.39,0.0,622.0,0.004559056,0,1
62,22.39,27.39,0.0,620.0,0.004587082,0,1
63,22.29,27.39,0.0,621.5,0.004559056,0,1
64,22.29,27.35666667,0.0,616.3333332999999,0.004553467,0,1
65,22.29,27.34,0.0,609.0,0.004550673,0,1
66,22.29,27.39,0.0,614.0,0.004559056,0,1
67,22.29,27.34,0.0,613.5,0.004550673,0,1
68,22.29,27.34,0.0,611.0,0.004550673,0,1
69,22.29,27.39,0.0,612.0,0.004559056,0,1
70,22.29,27.29,0.0,608.0,0.00454229,0,1
71,22.29,27.29,0.0,605.5,0.00454229,0,1
72,22.2675,27.315,0.0,608.5,0.004540214,0,1
73,22.2,27.29,0.0,608.5,0.0045172879999999995,0,1
74,22.245,27.29,0.0,602.5,0.004529774,0,1
75,22.2,27.29,0.0,598.0,0.0045172879999999995,0,1
76,22.2,27.29,0.0,595.0,0.0045172879999999995,0,1
77,22.2,27.29,0.0,591.0,0.0045172879999999995,0,1
78,22.245,27.245,0.0,591.0,0.00452225,0,1
79,22.2,27.2,0.0,595.0,0.004502283,0,1
80,22.2,27.29,0.0,594.3333332999999,0.0045172879999999995,0,1
81,22.2,27.29,0.0,593.5,0.0045172879999999995,0,1
82,22.2,27.29,0.0,592.0,0.0045172879999999995,0,1
83,22.15,27.245,0.0,586.5,0.004495971,0,1
84,22.2,27.2,0.0,586.0,0.004502283,0,1
85,22.15,27.245,0.0,586.0,0.004495971,0,1
86,22.2,27.245,0.0,584.5,0.004509785,0,1
87,22.1,27.245,0.0,584.5,0.004482195,0,1
88,22.1,27.2,0.0,585.5,0.004474738,0,1
89,22.13333333,27.2,0.0,584.6666667000001,0.004483903,0,1
90,22.2,27.2,0.0,577.0,0.004502283,0,1
91,22.1,27.2,0.0,580.0,0.004474738,0,1
92,22.125,27.2,0.0,582.0,0.00448161,0,1
93,22.2,27.2,0.0,580.0,0.004502283,0,1
94,22.1,27.15,0.0,578.0,0.004466454,0,1
95,22.1,27.2,0.0,576.5,0.004474738,0,1
96,22.1,27.2,0.0,580.0,0.004474738,0,1
97,22.1,27.2,0.0,572.5,0.004474738,0,1
