Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy,Week_day
21.76,31.13333333,437.33333330000005,1029.666667,0.005021011,1,1
21.79,31.0,437.33333330000005,1000.0,0.005008581,1,1
21.7675,31.1225,434.0,1003.75,0.005021569,1,1
21.7675,31.1225,439.0,1009.5,0.005021569,1,1
21.79,31.13333333,437.33333330000005,1005.666667,0.005030298,1,1
21.76,31.26,437.33333330000005,1014.333333,0.005041605,1,1
21.79,31.1975,434.0,1018.5,0.005040749000000001,1,1
21.79,31.39333333,437.33333330000005,1018.666667,0.005072649,1,1
21.79,31.3175,434.0,1022.0,0.005060296,1,1
21.79,31.46333333,437.33333330000005,1027.333333,0.005084053,1,1
21.79,31.525,437.75,1047.75,0.005094099,1,1
21.79,31.575,441.75,1049.0,0.005102244000000001,1,1
21.79,31.395,442.0,1061.5,0.005072920999999999,1,1
21.79,31.3925,441.75,1049.0,0.005072514,1,1
21.79,31.5,441.5,1048.0,0.005090026,1,1
21.815,31.5,438.0,1049.25,0.0050978690000000005,1,1
21.815,31.4725,449.5,1051.25,0.0050933820000000005,1,1
21.89,31.6,449.5,1060.5,0.005137857,1,1
21.79,31.55,449.5,1059.5,0.005098172,1,1
21.82333333,31.73,447.66666669999995,1072.0,0.005138035,1,1
21.865,31.7225,449.5,1072.333333,0.005150007,1,1
21.89,31.745,449.5,1075.333333,0.005161628,1,1
21.89,31.7675,449.5,1087.0,0.005165317,1,1
21.89,31.7675,437.75,1083.25,0.005165317,1,1
21.89,31.79,442.66666669999995,1086.333333,0.005169005999999999,1,1
21.89,31.79,437.33333330000005,1091.0,0.005169005999999999,1,1
21.89,31.89,439.0,1100.0,0.005185401,1,1
21.89,31.89,444.0,1101.0,0.005185401,1,1
21.89,31.865,444.0,1107.0,0.0051813020000000005,1,1
21.89,31.79,444.0,1110.0,0.005169005999999999,1,1
21.89,31.865,444.0,1101.75,0.0051813020000000005,1,1
21.89,31.73,444.0,1100.0,0.005159169,1,1
21.89,31.7225,444.0,1092.75,0.005157939,1,1
21.89,31.7,444.0,1092.5,0.00515425,1,1
21.89,31.695,436.5,1094.0,0.005153431,1,1
21.89,31.56666667,434.0,1085.666667,0.005132392,1,1
21.89,31.55,436.5,1047.0,0.00512966,0,1
21.89,31.36,434.0,1031.0,0.005098515,0,1
21.89,31.125,432.75,977.5,0.005059998,0,1
21.89,31.15,436.5,961.25,0.005064095,1,1
21.89,31.06333333,434.0,948.0,0.005049891,1,1
21.89,30.77,429.0,913.25,0.005001821,1,1
21.89,30.7675,432.75,882.5,0.005001412,1,1
21.89,30.945,429.0,884.5,0.005030499,1,1
21.89,30.7925,429.0,899.0,0.005005508,1,1
21.89,30.77,432.75,888.25,0.005001821,1,1
21.89,30.795,436.5,878.5,0.005005918,1,1
21.89,30.8175,429.0,891.25,0.005009605,1,1
21.89,30.65,436.5,896.5,0.004982159,1,1
21.89,30.7475,429.0,889.5,0.004998135,1,1
21.89,30.76333333,429.0,887.3333332999998,0.005000729000000001,1,1
21.89,30.77,429.0,893.5,0.005001821,1,1
21.89,30.445,429.0,832.5,0.004948571,1,1
21.89,30.56666667,429.0,829.0,0.004968505,1,1
21.89,30.5,429.0,829.25,0.004957582,1,1
21.89,30.575,429.0,850.5,0.00496987,1,1
21.89,30.6,429.0,844.0,0.004973966,1,1
21.89,30.55,429.0,840.25,0.004965774,1,1
21.865,30.55,429.0,823.75,0.00495814,1,1
21.89,30.6,429.0,824.0,0.004973966,1,1
21.89,30.34,429.0,813.0,0.0049313690000000006,1,1
21.89,30.35666667,429.0,802.0,0.004934099,1,1
21.865,30.3925,429.0,810.75,0.004932375,1,1
21.89,30.35666667,429.0,805.3333332999999,0.004934099,1,1
21.89,30.315,429.0,796.5,0.004927273,1,1
21.89,30.2,429.0,795.0,0.004908434000000001,1,1
21.89,30.34,429.0,793.5,0.0049313690000000006,1,1
21.89,30.295,429.0,790.5,0.004923997,1,1
21.89,30.29,429.0,786.5,0.004923177,1,1
21.89,30.39,429.0,794.3333332999999,0.00493956,1,1
21.89,30.365,429.0,795.5,0.0049354640000000005,1,1
21.89,30.42666667,414.0,792.6666667000001,0.0049455670000000005,1,1
21.89,30.73,424.0,798.0,0.004995267,1,1
21.89,30.4175,429.0,795.5,0.004944065,1,1
21.89,30.39,429.0,797.75,0.00493956,1,1
21.89,30.39,429.0,798.0,0.00493956,1,1
21.89,30.445,429.0,802.0,0.004948571,1,1
21.89,30.35666667,421.5,797.5,0.004934099,1,1
