,0,0,0
0,0.02,29.976,4.0
1,0.422,21904.65,117.0
2,0.313,67818.106,163.0
3,0.023,0.0,0.0
4,0.001,37870.896,167.0
5,0.193,79745.47,210.0
6,0.912,0.0,0.0
7,0.441,55228.464,129.0
8,0.053,0.0,0.0
9,0.393,0.0,0.0
10,0.0,30.591,5.0
11,0.422,21905.618,116.0
12,0.313,67819.073,163.0
13,0.0,0.0,0.0
14,0.001,37870.929,167.0
15,0.193,79745.503,209.0
16,0.0,0.0,0.0
17,0.441,55228.464,129.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.02,29.976,4.0
21,0.422,21904.651,117.0
22,0.313,67818.106,163.0
23,0.023,0.0,0.0
24,0.001,37870.896,167.0
25,0.193,79745.47,210.0
26,0.912,0.0,0.0
27,0.441,55228.464,129.0
28,0.053,0.0,0.0
29,0.393,0.0,0.0
